ObjectType;OldId;Name;NewId
codeunit;50000;"HR Dates";
codeunit;50001;"PR Payroll Processing";
codeunit;50002;PortalWebService;
codeunit;50003;testSEndEmail;
codeunit;50003;"Signature Asset";
codeunit;50004;Signature;
codeunit;50004;Signature;
codeunit;50005;PortalWebServiceTemp;
codeunit;50008;"Page Management Ext";
codeunit;50014;"Calendar Management7600" { };
codeunit;50015;CheckManagement367 { };
codeunit;50016;"Copy Document Mgt.6620" { };
codeunit;50017;DimensionManagement408 { };
codeunit;50018;DocumentNoVisibility1400;
codeunit;50019;"Document Report Mgt.9651" { };
codeunit;50020;"Export Analysis View424" { };
codeunit;50021;"Export Item Analysis View7152" { };
codeunit;50022;"Gen. Jnl.-Post231" { };
codeunit;50023;"Gen. Jnl.-Post Batch13" { };
codeunit;50024;"Gen. Jnl.-Post Line12" { };
codeunit;50025;"Item-Check Avail.311" { };
codeunit;50026;"Item Jnl.-Post241" { };
codeunit;50027;"Item Jnl.-Post Batch23" { };
codeunit;50028;"Item Jnl.-Post Line22" { };
codeunit;50029;"Job Jnl.-Post Line1012" { };
codeunit;50030;"Job Link Usage1026" { };
codeunit;50031;"Job Planning Line-Reserve1032" { };
codeunit;50032;MoveEntries361;
codeunit;50033;"Update Analysis View410";
codeunit;50034;"Super Controller";
codeunit;50035;"Workflow Event Handling Ext";
codeunit;50036;"Scheduled Task";
codeunit;50037;"Custom Approvals Codeunit";
codeunit;50038;"Haki kwa ground Api";
codeunit;50039;"Document Attachment";
codeunit;50040;SupplyChainWebServices;
codeunit;50041;"Green Mbanking";
codeunit;50106;"Approvals Mgt";
codeunit;50107;"Response Handling";
codeunit;50147;"Signature Store Issue";
codeunit;51008;eRecruitment;
codeunit;52193423;"HR Leave Jnl.-Post";
codeunit;52193424;"HR Leave Jnl.- Post Batch";
codeunit;52193425;"HR Leave Jnl.- Check Line";
codeunit;52193426;"HR Leave Jnl.- Post Line";
codeunit;52193427;"HR Leave Jnl Management";
codeunit;52193428;"HR Leave Year - Close";
codeunit;52193429;"HR Make Leave Ledg. Entry";
codeunit;52193430;"HR Appraisal Jnl.-Post Batch";
codeunit;52193431;"HR Appraisal Jnl.-Check Line";
codeunit;52193432;"HR Appraisal Jnl.-Post Line";
codeunit;52193433;"HR Make Appraisal Ledg. Entry";
codeunit;52193434;"HR Appraisal Jnl.-Post";
codeunit;52193435;"HR Leave Year - Close Test";
codeunit;52193436;"HR Leave Year - Close Original";
codeunit;52193437;"Job-Jnl.-B.Post+Print";
codeunit;52193438;"Job-Reg.-Show Ledger";
codeunit;52193439;"Job Create-PO 1";
codeunit;52193440;"HR Leave Year - Close Testing";
codeunit;52193441;WebService;
codeunit;52193442;CalcBudget;
codeunit;52193443;"Register Management";
codeunit;52193444;"Doc-CancelMgt";
codeunit;52193445;"Check Manual Nos";
codeunit;52193446;"BankAlertMgt FP";
codeunit;52193447;"Budget Allocation FP";
codeunit;52193448;"Doc CancelMgt";
codeunit;52193449;"Posting Check FP";
codeunit;52193450;"Budgetary Control";
codeunit;52193451;"Vendor Credit Limit Check";
codeunit;52193452;"Journal Post Successful";
codeunit;52193453;"User Setup Management BR";
codeunit;52193454;"WP Budget Allocation";
codeunit;52193455;"Payment Voucher Apply";
codeunit;52193456;"Receipt Apply";
codeunit;52193457;"Tax Calculation";
codeunit;52193458;"WP Matrix Management";
codeunit;52193459;"Workplan Indent";
codeunit;52193460;"Copy Terminal Docs Mgt";
codeunit;52193767;"Global Functions";
codeunit;70000;"Insurance Notifications";
codeunit;70000046;SelectionFilterManagement46;
codeunit;70000090;"Purch.-Post90";
codeunit;70000364;"PostPurchLines-Delete364";
codeunit;70001252;"Match Bank Rec. Lines1252";
codeunit;70005300;"Outlook Synch. Setup Mgt.5300";
codeunit;70005301;"Outlook Synch. NAV Mgt5301";
codeunit;70005311;"Outlook Synch. Finalize5311";
codeunit;70005813;"Undo Purchase Receipt Line5813";
codeunit;70009520;"Mail Management9520";
codeunit;70112;recruitmentQueries;
enum;50001;"PayChange Source Document";
enum;50002;"Leave Planner Type";
enum;50003;"HR Leave Plan Status";
enumextension;50000;"Customer Apply Calculation Type";
enumextension;50001;"Vendor Apply Calculation Type";
enumextension;50002;"Approval Document Type";
enumextension;50003;"Purchase FA Posting Type";
page;460;"Purchases & Payables Setup";
page;50000;"Bank Acc. Statement Lines";
page;50001;"Items PR Requisitions Portal";
page;50002;"Items SR Requisitions Portal";
page;50003;"Unused Purchase Order";
page;50004;"Store Requisitions Line Portal";
page;50005;"Asset PR Requisition Portal";
page;50006;"Asset PR Requisition Lines Por";
page;50007;"HR Employees Info Changes";
page;50008;"Posted Store Requisition Card";
page;50009;"Posted Store Requisition Lists";
page;50010;"HR Individual Objectives";
page;50011;Attachment;
page;50012;"User Signature";
page;50013;"Purchase Requisition List";
page;50014;"Store Requisition List";
page;50015;"HR Employee Info Changes";
page;50016;"Appraisal Training Development";
page;50017;"HR Criteria Setup";
page;50018;"HR Interpersonal Factors";
page;50019;"HR Attitudes Targets Setup";
page;50020;"HR Organizational Indicators";
page;50021;"HR Comment Lines";
page;50022;HRAttitudesTargetsSetup;
page;50023;"PR Period Transactions";
page;50024;PRPayrollPeriods;
page;50025;PRPeriodTransactionsList;
page;50026;ApprovalEntriesList;
page;50027;"Record Link";
page;50028;HRBackToOfficeReport;
page;50029;"Consolidated HR Leave Planners";
page;50030;"Consolidated Leave Planner";
page;50031;"FA Setup";
page;50032;"HR Training Cost List";
page;50033;"Religion Setup";
page;50034;"Hr Disciplanary Cases Created";
page;50035;"Hr Cases Submitted ";
page;50036;"Hr Emp Qualification Changes";
page;50037;"HR Qualifications Update";
page;50037;"Asset Movement Request Card";
page;50038;"Vehicle Type List";
page;50039;"HR Staff Changes";
page;50040;"Next Of KIn Application";
page;50041;"Hr Staff Changes List";
page;50042;"HR Employees(Deployed)";
page;50043;"HR Employees(P'/Pensionable)";
page;50044;"Hr Employee Registration List";
page;50045;"HR Employee Registration Crd";
page;50046;"Promotion Allowances";
page;50047;"Country Dimensions";
page;50048;"Disciplanary  Commitee Members";
page;50049;"Advertised Requisitions";
page;50050;"NLC Multiplier";
page;50051;"Approved Requisitions";
page;50052;"Departmental Disposal Lists";
page;50053;"Leave Ledger Entries";
page;50054;"Asset Incidence Reporting Card";
page;50055;"Asset Incidence Reporting Line";
page;50056;"Job Applicants Qualifications";
page;50057;"Asset Reporting Line Portal";
page;50058;"Approved Disposal Asset Lines";
page;50059;"Disposal Reasons";
page;50060;"Pending Disposal Asset Lines";
page;50061;"Scoring Template Page";
page;50062;"Scoring Lines";
page;50063;"Scoring List";
page;50064;"Hr Change log values";
page;50065;"Asset Receiving Requisition";
page;50066;"Asset Receiving Lines";
page;50067;"Asset Receiving Lists";
page;50068;"Asset Receiving Line View";
page;50069;"Create Fixed Asset List";
page;50070;"Payroll changes List";
page;50071;"Payrooll Change Crd";
page;50072;"Asset Issue Request Line";
page;50073;"Acceptance Signature";
page;50074;"Hotel Allocation Lines";
page;50075;"Hotel List";
page;50076;"Hotel Card";
page;50077;"Acceptance Signature Store";
page;50078;"Items Requsition Lines";
page;50079;"Items PO Card Portal";
page;50080;"Items PO Lines Portal";
page;50081;"Payroll Changes List Existing";
page;50082;"Character Setup";
page;50083;"Survey Character";
page;50084;"Store requisiton Card NLC";
page;50085;"Acceptance Signature Item";
page;50086;"HR Asset Issue Card";
page;50087;"HR Asset Return List";
page;50088;"HR Asset Return Card";
page;50089;"HR Asset Transfers List";
page;50090;"HR Asset Transfers Card";
page;50091;"Issued Asset Transfer List";
page;50092;"Issued Asset Transfer Card";
page;50093;"Employee Transfer List";
page;50094;"Employee Transfer";
page;50095;"Rejected Asset Transfer List";
page;50096;"Rejected Asset Transfer Card";
page;50097;"Approval Comment Lines";
page;50098;"Asset Actions";
page;50099;"Rejected Disposal Asset Lines";
page;50100;"Monthly salary Scale";
page;50101;"Interview Pannel";
page;50102;"Vehicle Entitlement";
page;50103;"Realsead Stores card";
page;50104;"Store Lines";
page;50105;"Hodling Area";
page;50106;"Holding Lines";
page;50107;"Items List";
page;50108;"Hodling List Area";
page;50109;"HR Asset Transfer List";
page;50110;"Procurement Items Card";
page;50111;"InTangible Fixed Asset Card";
page;50112;"InTangible Fixed Asset List";
page;50113;"Tangible Fixed Asset Card";
page;50114;"Tangible Fixed Asset List";
page;50115;"Sharepoint Information";
page;50116;"Posted Asset Transfer List";
page;50117;"Supplier Categories";
page;50118;"HR Asset Issue Lists";
page;50119;"Departmental Disposal Plans";
page;50120;"Supply Chain Procurement";
page;50121;"Asset Reciving Card";
page;50121;"Items Requisition Lines";
page;50122;"Items Requisitions Lists";
page;50123;"Asset Incidence Reporting List";
page;50124;"Items  Requisition Cards";
page;50125;"Internal memo";
page;50126;"Asset Return Request Lines";
page;50127;"Supplier List";
page;50128;"Asset Allocation Request Lines";
page;50129;"Supplier Card";
page;50130;"Procurement Item List";
page;50131;"Inspection Committee";
page;50132;"Asset Allocation Request Card";
page;50133;"Disposal Plan Table Lines";
page;50134;"Disposal Periods";
page;50135;"Disposal Methods Lists";
page;50136;"Work Experience";
page;50137;"Proffessional Bodies";
page;50138;"Job Monthy Salary";
page;50139;"HR Disciplinary Cases Listpart";
page;50140;"Rejected Goods";
page;50141;"Rejected Holding Goods";
page;50142;"Disposal Plan Lines Portal";
page;50143;"Disposal Plans";
page;50144;"Disposal Plans Card Portal";
page;50145;"Disposal Plans Card View";
page;50146;"Asset Allocation Request List";
page;50147;"Disposal Lists";
page;50148;"Rejected Lines";
page;50149;"Store Reuisition Cr";
page;50150;"Signature Pad";
page;50151;"Returned/Rejcted Items";
page;50152;"Retuened/Rejected List";
page;50153;"Store Requisitions Lists 1";
page;50154;"Make /model";
page;50155;"Asset Receiving Lines1";
page;50156;"Asset Lines";
page;50157;"Asset Return card";
page;50158;"Asset Returning Lists";
page;50159;"Asset Returning Lines";
page;50160;"Asset Card";
page;50161;"Asset Allocation Card";
page;50162;"Asset Allocation Lines";
page;50163;"Asset Allocation LIst";
page;50164;"Maintenance Plan Card";
page;50165;"Maintenance Plan Lines";
page;50166;"Maintenance Plan List";
page;50167;"Actual Maintenance Card";
page;50168;"Actual Maintenance Lines";
page;50169;"Actual Maintenance List";
page;50170;"Asset Incident Card";
page;50171;"Asset Incident Lines";
page;50172;"Asset Incident List";
page;50173;"Asset Repair Card Vehicles";
page;50174;"Asset Repair Lines";
page;50175;"Asset Repair List";
page;50176;"Repair Recommendation Card";
page;50177;"Maintanance Type";
page;50178;"Discipline Document Stage";
page;50180;"Discipline Details";
page;50181;"Discipline Details List";
page;50190;"Discipline Role Center";
page;50191;"Discipline Management Cue";
page;50192;"Discipline Accused Employees";
page;50193;"Discipline Document";
page;50194;"Discipline Document List";
page;50195;"Submitted Discipline Document";
page;50212;"SurCharge Card";
page;50213;"Surcharge List";
page;50214;"Submitted Surcharge List";
page;52193423;"Purchase Requisitions List";
page;52193424;"HR Job Applicants Qualified L";
page;52193425;"HR Job Occupants";
page;52193426;"HR Jobs Card";
page;52193427;"HR Job Responsiblities Lines";
page;52193428;"HR Job Applications Factbox";
page;52193429;"HR Jobs Factbox";
page;52193430;"HR Job Requirements";
page;52193431;"HR Job Responsibilities";
page;52193432;"HR Job Qualifications";
page;52193433;"HR Jobs List";
page;52193434;"HR Job Requirement Lines";
page;52193435;"Employee Referees1";
page;52193436;"HR Promotion Recommend List";
page;52193437;"HR Job Requirement Lines(RO)";
page;52193438;"hr job responsibilities card";
page;52193439;"HR Jobs Training Needs SF";
page;52193441;"HR Job Applications List";
page;52193442;"HR Job Applications Card";
page;52193443;"HR Employee Card (Commissioner";
page;52193444;"HR Employee List (Commisioners";
page;52193445;"HR Employee List (ALL)";
page;52193446;"HR Employee Kin";
page;52193447;"HR Employee Kin SF";
page;52193448;"HR Employee Requisition Card";
page;52193449;"HR Employee Requisitions List";
page;52193450;"HR Employee List -  PR";
page;52193451;"HR Employee Req. Factbox";
page;52193452;"HR Employee Qualifications";
page;52193453;"HR Employee Qualification Line";
page;52193454;"HR Employee Attachments";
page;52193455;"HR Employee Attachments SF";
page;52193456;"HR Employees Factbox";
page;52193457;"HR Employee Card";
page;52193458;"HR Employee Grievance Card";
page;52193459;"HR E-Mail Parameters List";
page;52193460;"HR Employee Course of Study";
page;52193461;"HR Employees Supervisee";
page;52193462;"HR Employee List (ALL)-New";
page;52193463;"HR Leave Carryover Request";
page;52193464;"HR Leave Journal Lines";
page;52193465;"HR Leave Types";
page;52193466;"HR Leave Types Card";
page;52193467;"HR Leave Batches";
page;52193468;"HR Leave Application Card";
page;52193469;"HR Leave Jnl. Template List";
page;52193470;"HR Leave Ledger Entries";
page;52193471;"HR Leave Applicaitons Factbox";
page;52193472;"HR Leave Applications List";
page;52193473;"HR Leave Application Comments";
page;52193474;"HR Leave Family Groups List";
page;52193475;"HR Leave Family Employees List";
page;52193476;"HR Leave Family Groups Card";
page;52193477;"HR Leave Reimbursment Card";
page;52193478;"HR Leave Reimbursment List";
page;52193479;"HR Leave Applications History";
page;52193480;"HR Leave Documents";
page;52193481;"HR Leave Relievers";
page;52193482;"HR Leave Planner Card";
page;52193483;"HR Leave Planner List";
page;52193484;"HR Leave Period List";
page;52193485;"HR Applicant Qualifications";
page;52193486;"HR Applicant Referees";
page;52193487;"HR Applicant Hobbies";
page;52193488;"HR OSSafety Rules Card";
page;52193489;"HR OSSafety Checklist List";
page;52193490;"HR OSInjured Person List";
page;52193491;"HR OSInvestigation List";
page;52193492;"HR OSInvestigation Card";
page;52193493;"HR OSInspection List";
page;52193494;"HR OSInspection Card";
page;52193495;"HR Employee List (ALL)-Pending";
page;52193496;"Separation List";
page;52193497;"Separation Card";
page;52193498;"HR Shortlisting List";
page;52193499;"HR Shortlisting Card";
page;52193500;"HR Shortlisting Lines";
page;52193501;"HR Applicants Qualified Card";
page;52193502;"HR Applicants UnQualified Card";
page;52193503;"HR Applicants UnQualified L";
page;52193504;"HR E-Mail Parameters Card";
page;52193505;"HR Setup";
page;52193506;"HR Lookup Values List";
page;52193507;"HR Lookup Values Card";
page;52193508;"HR Calendar Card";
page;52193509;"HR Non Working Days & Dates";
page;52193510;"HR Calendar Lines";
page;52193511;"HR Committees";
page;52193512;"HR Commitee Members";
page;52193513;"HR OSIncident Card";
page;52193514;"HR OSIncident List";
page;52193515;"HR OSAccident Incident line";
page;52193516;"HR OSAccident List";
page;52193517;"HR OSAccident Card";
page;52193518;"HR OSAccident Line";
page;52193519;"Transfer Schedule List";
page;52193520;"Transfer Schedule Card";
page;52193521;"prPayroll Setup";
page;52193522;"prNHIF SetUp";
page;52193523;"prP.A.Y.E Setup";
page;52193524;"PR Bank Accounts";
page;52193525;"PR Payroll Periods";
page;52193526;"PR Transaction Codes List";
page;52193527;"PR Header Salary Card - ALL";
page;52193528;"PR Salary Information";
page;52193529;"PR Employee Transactions";
page;52193530;"prSalary Ledger";
page;52193531;"prEmployee Banks";
page;52193532;"PR Bank Branches";
page;52193533;"prEmployee History";
page;52193534;"prMassEmployee Trans";
page;52193535;"PR Transaction Code Card";
page;52193536;"prRates & Ceilings";
page;52193537;"prPeriodTransaction List";
page;52193538;"prMassList Transactions";
page;52193539;"prmassList Translines";
page;52193540;"PR Salary Arrears";
page;52193541;"Responsibility Center List BRN";
page;52193542;prPayrollType;
page;52193543;prEmployeePosting;
page;52193544;"prPayroll Role Center";
page;52193545;"prRates & Ceilings List";
page;52193546;"PR Salary List (ALL)";
page;52193547;"Items Requisitions Lists";
page;52193548;"prNSSF List";
page;52193549;"prNSSF Card";
page;52193550;"Base Calendar Changes new";
page;52193551;"Base Calendar Entries SubfrmNe";
page;52193552;"PR Salary Info Casual";
page;52193553;"PR Salary Card Casual";
page;52193554;"PR Salary List (Casuals)";
page;52193555;"PrCasual Payroll Setup";
page;52193556;"prSalary Review Header";
page;52193557;"prSalary Review Lines";
page;52193558;"prSalary Review List";
page;52193559;"prSalary Advance";
page;52193560;"prSalary Advance List";
page;52193561;"prGratuity Approval";
page;52193562;"prGratuity Approval List";
page;52193563;"prBonus Recommendation Header";
page;52193564;"prBonus Recommendation Lines";
page;52193565;"prBonus Recommendation List";
page;52193566;"prSalary Scale";
page;52193567;"Employees Bank List";
page;52193568;"Basic Payroll Role Center";
page;52193569;"Staff Online Users";
page;52193570;"Inactive staff";
page;52193571;"Salary Advance Request Crd";
page;52193572;"Salary Advance Request Lists";
page;52193573;"Salary Advance Line";
page;52193574;"Salary Advance Lists";
page;52193575;"Salary Advance Card";
page;52193576;"Payroll Change Lists Existing";
page;52193577;"Payroll Change Cards Existing";
page;52193578;"Payroll Change Lines New";
page;52193579;"Payroll Change Lists New";
page;52193580;"Payroll Change Cards New";
page;52193581;"HR New Employee Transfer Lines";
page;52193582;"Employee Transfer Allowance";
page;52193583;"Approval Entries Lists";
page;52193584;"HR Employee Infor Change";
page;52193585;"HR Leave Relievers cards";
page;52193586;"HR Training App Lines Cards";
page;52193587;"HR Transport Passengers Cards";
page;52193588;"Online Users Cards";
page;52193589;"Applicant Employment Detail";
page;52193590;"Applicant Employment Profiles";
page;52193591;"Applicant Education Backgroun";
page;52193592;"Applicant Registers";
page;52193593;"Applicant Referee";
page;52193594;"Applicant Relevant Document";
page;52193595;"Employee Requisition Externals";
page;52193596;"Employee Requisition Internals";
page;52193597;"HR Job Qualifications Lists";
page;52193598;"Job Application";
page;52193599;"HR Back To Office Lists";
page;52193600;"Job Requirements";
page;52193601;"Related Job Qualifications";
page;52193602;"Applicant Job Requirements";
page;52193603;"Applicant Related Job Qualify";
page;52193604;"All HR Job Applications List";
page;52193605;"Clearance List HR";
page;52193606;"Separation Card HR";
page;52193607;"Separation List HR";
page;52193608;"Clearance Certificate Card HR";
page;52193609;"Exit Questinnaire Card HR";
page;52193610;"HR Staff Transport  List";
page;52193611;"HR Staff Transport Card";
page;52193612;"HR Training Application Lists";
page;52193613;"HR Training Application Card";
page;52193614;"Hr Back To Office Forms";
page;52193615;"Petty Cash Details";
page;52193616;"Record Link View";
page;52193617;"Store Requisition Line";
page;52193618;"Internal Requisitions";
page;52193619;"Imprest List";
page;52193620;"Imprest Types";
page;52193621;"Procurement Type";
page;52193622;"Expense Code";
page;52193623;"Receipts List";
page;52193624;"Cash Office Setup";
page;52193625;"Cash Office User Template";
page;52193626;"Receipt Types";
page;52193627;"Payment Types";
page;52193628;"Receipt and Payment Types List";
page;52193629;"Tariff Codes";
page;52193630;"Receipt Header";
page;52193631;"Bank & Cash Transfer Request";
page;52193632;"Bank Pay In Slip";
page;52193633;"Released Store Requisitions Li";
page;52193634;"Imprest Surrender";
page;52193635;"Imprest Surrender Details";
page;52193636;"Bank Pay In Slip List";
page;52193637;"Cash Payment Header";
page;52193638;"Cash Payment Lines";
page;52193639;"Receipts Line";
page;52193640;"Payment Header";
page;52193641;"Payment Lines";
page;52193642;"Payment Vouchers List";
page;52193643;"Petty Cash Vouchers List";
page;52193644;"Bank & Cash Transfers List";
page;52193645;"Imprest Vouchers List";
page;52193646;"Imprest Acct. List";
page;52193647;"Store Requisitions List";
page;52193648;Requisitions;
page;52193649;"InterBank Transfers List";
page;52193650;"Bank Pay In Slip Confirmation";
page;52193651;"Bank Pay In Line Confirmation";
page;52193652;"Cash Receipt Header";
page;52193653;"Cash Receipts Line";
page;52193654;"Cash Receipts List";
page;52193655;"Budgetary Control Setup";
page;52193656;"Imprest Details";
page;52193657;"Imprest Request";
page;52193658;"Imprest Details List";
page;52193659;"Responsibility Center Card BR";
page;52193660;"Company Vehicle list";
page;52193661;"Staff Claims";
page;52193662;"Staff Claim Lines";
page;52193663;"Staff Advance Request";
page;52193664;"Staff Advance Lines";
page;52193665;"Staff Advance Surrender";
page;52193666;"Staff Advanc Surrender Details";
page;52193667;"Staff Advance Surrender List";
page;52193668;"Claim Types";
page;52193669;"Advance Types";
page;52193670;"Purchase Requisitions";
page;52193671;"Staff Claims List";
page;52193672;"Staff Advance Request List";
